name, url, categories
'.gitignore Templates', 'https://github.com/github/gitignore', ['Code Snippets']
'0 A.D.', 'https://github.com/0ad/0ad', ['Game']
'Actual', 'https://github.com/actualbudget/actual', ['Personal Finance']
'AdGuard Filters', 'https://github.com/AdguardTeam/AdguardFilters', ['Ad Blocking']
'ADIOS2', 'https://github.com/ornladios/ADIOS2', ['Adaptable I/O']
'Admnistrate', 'https://github.com/thoughtbot/administrate', ['Rails Admin Interface']
'Aesara', 'https://github.com/aesara-devs/aesara', ['Deep Learning / ML / AI']
'Airbyte', 'https://github.com/airbytehq/airbyte', ['Batch Processing', 'Workflow Orchestration']
'Airflow Guides', 'https://github.com/astronomer/airflow-guides', ['Documentation']
'Akka', 'https://github.com/akka/akka', ['App Dev']
'Alfresco', 'https://github.com/Alfresco/alfresco-community-repo', ['Content Management System (CMS)']
'Algorand', 'https://github.com/algorand/go-algorand', ['Blockchain']
'Alluxio', 'https://github.com/alluxio/alluxio', ['Storage']
'Alphafold', 'https://github.com/deepmind/alphafold', ['Deep Learning / ML / AI']
'AMP web component framework', 'https://github.com/ampproject/amphtml', ['Web Component Framework']
'Amplication', 'https://github.com/amplication/amplication', ['App Dev']
'Amundsen', 'https://github.com/amundsen-io/amundsen', ['Data Discovery']
'Anchore', 'https://github.com/anchore/anchore-engine', ['Container Management']
'Angular', 'https://github.com/angular/angular', ['Front-end Framework']
'animate.css', 'https://github.com/animate-css/animate.css', ['CSS Animation Library']
'Ansible', 'https://github.com/ansible/ansible', ['IT Automation Platform']
'Ant Design', 'https://github.com/ant-design/ant-design', ['React Libary']
'Apache Airflow', 'https://github.com/apache/airflow', ['Workflow Orchestration', 'Batch Processing']
'Apache APISIX', 'https://github.com/apache/apisix', ['Gateway']
'Apache Arrow', 'https://github.com/apache/arrow', ['In-Memory Processing']
'Apache Atlas', 'https://github.com/apache/atlas', ['Data Lineage']
'Apache Avro', 'https://github.com/apache/avro', ['Data Serialization']
'Apache Beam', 'https://github.com/apache/beam', ['Batch Processing', 'Stream Processing']
'Apache Bloodhound', 'https://github.com/apache/bloodhound', ['Productivity']
'Apache Calcite', 'https://github.com/apache/calcite', ['SQL Query Engine']
'Apache Cassandra', 'https://github.com/apache/cassandra', ['Database']
'Apache Celix', 'https://github.com/apache/celix', ['App Dev']
'Apache CFX', 'https://github.com/apache/cxf', ['App Dev']
'Apache Commons Codec', 'https://github.com/apache/commons-codec', ['Utilities']
'Apache Commons IO', 'https://github.com/apache/commons-io', ['Utilities']
'Apache Commons Lang', 'https://github.com/apache/commons-lang', ['Utilities']
'Apache CouchDB', 'https://github.com/apache/couchdb', ['Database']
'Apache DolphinScheduler', 'https://github.com/apache/dolphinscheduler', ['Workflow Orchestration']
'Apache Doris', 'https://github.com/apache/incubator-doris', ['Database']
'Apache Drill', 'https://github.com/apache/drill', ['SQL Query Engine']
'Apache Druid', 'https://github.com/apache/druid', ['Database']
'Apache Dubbo', 'https://github.com/apache/dubbo', ['RPC Framework']
'Apache Flink', 'https://github.com/apache/flink', ['Stream Processing', 'Batch Processing']
'Apache Hadoop', 'https://github.com/apache/hadoop', ['Data Processing Engine', 'Hadoop']
'Apache Hop', 'https://github.com/apache/hop', ['Workflow Orchestration', 'Batch Processing']
'Apache HTTP Server', 'https://github.com/apache/httpd', ['Web Server', 'Service Proxy']
'Apache HttpComponents Client', 'https://github.com/apache/httpcomponents-client', ['HTTP Client']
'Apache HttpComponents Core', 'https://github.com/apache/httpcomponents-core', ['HTTP Client']
'Apache Ignite', 'https://github.com/apache/ignite', ['Database']
'Apache Jakarta EE', 'https://github.com/jakartaee/jakarta.ee', ['Cloud Native Java']
'Apache Kafka', 'https://github.com/apache/kafka', ['Event Streaming Platform']
'Apache Maven', 'https://github.com/apache/maven', ['Collaboration']
'Apache Mesos', 'https://github.com/apache/mesos', ['Container Runtime']
'Apache MXNet', 'https://github.com/apache/incubator-mxnet', ['Deep Learning / ML / AI']
'Apache Netbeans', 'https://github.com/apache/netbeans', ['Code Editor']
'Apache OODT', 'https://github.com/apache/oodt', ['Batch Processing', 'Workflow Orchestration']
'Apache OpenJPA', 'https://github.com/apache/openjpa', ['Java Library']
'Apache Pinot', 'https://github.com/apache/pinot', ['Database']
'Apache Pivot', 'https://github.com/apache/pivot', ['App Dev']
'Apache Pulsar', 'https://github.com/apache/pulsar', ['Messaging']
'Apache Ranger', 'https://github.com/apache/ranger', ['Network Security', 'Hadoop']
'Apache RocketMQ', 'https://github.com/apache/rocketmq', ['Messaging']
'Apache Samza', 'https://github.com/apache/samza', ['Stream Processing', 'Hadoop']
'Apache ShardingSphere', 'https://github.com/apache/shardingsphere', ['Database']
'Apache SINGA', 'https://github.com/apache/singa', ['Deep Learning / ML / AI']
'Apache SkyWalking', 'https://github.com/apache/skywalking', ['Tracing']
'Apache Solr', 'https://github.com/apache/solr', ['Search Engine']
'Apache Spark', 'https://github.com/apache/spark', ['Data Processing Engine']
'Apache Storm', 'https://github.com/apache/storm', ['Stream Processing']
'Apache Subversion', 'https://github.com/apache/subversion', ['Version Control']
'Apache Superset', 'https://github.com/apache/superset', ['Data Visualization']
'Apache Thrift', 'https://github.com/apache/thrift', ['RPC Framework']
'Apache TinkerPop', 'https://github.com/apache/tinkerpop', ['Graph Computing']
'Apache Traffic Server', 'https://github.com/apache/trafficserver', ['Service Proxy']
'Apache Zookeeper', 'https://github.com/apache/zookeeper', ['Service Coordination']
'Apollo Client', 'https://github.com/apollographql/apollo-client', ['Front-end Framework']
'Apollo', 'https://github.com/apolloconfig/apollo', ['Infrastructure Configuration']
'AppFlowy Docs', 'https://github.com/AppFlowy-IO/AppFlowy-Docs', ['Documentation']
'AppFlowy', 'https://github.com/AppFlowy-IO/AppFlowy', ['Collaboration']
'Approzium', 'https://github.com/cyralinc/approzium', ['Auth']
'Appsmith', 'https://github.com/appsmithorg/appsmith', ['App Dev']
'Appwrite', 'https://github.com/appwrite/appwrite', ['Database']
'ArangoDB', 'https://github.com/arangodb/arangodb', ['Database']
'AresDB', 'https://github.com/uber/aresdb', ['Database']
'Argo CD', 'https://github.com/argoproj/argo-cd', ['Continuous Delivery']
'Argo Workflows', 'https://github.com/argoproj/argo-workflows', ['Batch Processing']
'Artifact Hub', 'https://github.com/artifacthub/hub', ['Package Management']
'Aseprite', 'https://github.com/aseprite/aseprite', ['Sprite Editor']
'Astro', 'https://github.com/astro-projects/astro', ['Batch Processing']
'Astronomer Providers', 'https://github.com/astronomer/astronomer-providers', ['Apache Airflow Provider']
'Async', 'https://github.com/caolan/async', ['Javascript Library']
'Athens', 'https://github.com/athensresearch/athens', ['Collaboration']
'Atom', 'https://github.com/atom/atom', ['Code Editor']
'Audacity', 'https://github.com/audacity/audacity', ['Audio Editor']
'Autocert', 'https://github.com/smallstep/autocert', ['TLS']
'Awesome Lists', 'https://github.com/sindresorhus/awesome', ['Learn to Code']
'Awesome Python', 'https://github.com/vinta/awesome-python', ['Learn to Code']
'Axios', 'https://github.com/axios/axios', ['HTTP Client']
'Axon Framework', 'https://github.com/AxonFramework/AxonFramework', ['App Dev']
'Azure Docs', 'https://github.com/MicrosoftDocs/azure-docs', ['Documentation']
'Babel', 'https://github.com/babel/babel', ['Javascript Compiler']
'Backstage', 'https://github.com/backstage/backstage', ['Developer Portal Platform']
'Badger', 'https://github.com/dgraph-io/badger', ['Database']
'Basis', 'https://github.com/basis-os/basis-devkit', ['Workflow Orchestration']
'Battle for Wesnoth', 'https://github.com/wesnoth/wesnoth', ['Game']
'Bazel', 'https://github.com/bazelbuild/bazel', ['Build Automation']
'Beats', 'https://github.com/elastic/beats', ['Logging', 'System Monitoring']
'BentoML', 'https://github.com/bentoml/BentoML', ['Deep Learning / ML / AI']
'Bevy', 'https://github.com/bevyengine/bevy', ['Game Engine']
'BFE', 'https://github.com/bfenetworks/bfe', ['Load Balancer']
'BigBlueButton', 'https://github.com/bigbluebutton/bigbluebutton', ['Video Conferencing']
'BigDL', 'https://github.com/intel-analytics/BigDL', ['Deep Learning / ML / AI']
'Bit', 'https://github.com/teambit/bit', ['App Dev']
'Bitrise', 'https://github.com/bitrise-io/bitrise', ['Continuous Delivery']
'Bitwarden', 'https://github.com/bitwarden/server', ['Password Management']
'Black', 'https://github.com/psf/black', ['Code Formatter']
'Blender', 'https://github.com/blender/blender', ['Creative Design']
'Blitz', 'https://github.com/blitz-js/blitz', ['App Dev']
'Bootstrap', 'https://github.com/twbs/bootstrap', ['Front-end Framework']
'Botpress', 'https://github.com/botpress/botpress', ['Chatbots']
'Brave Browser', 'https://github.com/brave/brave-browser', ['Web Browser']
'Brigade Metrics', 'https://github.com/brigadecore/brigade-metrics', ['System Monitoring']
'Brigade', 'https://github.com/brigadecore/brigade', ['Batch Processing']
'Budibase', 'https://github.com/Budibase/budibase', ['App Dev']
'Buf', 'https://github.com/bufbuild/buf', ['Data Management']
'Build your own X', 'https://github.com/danistefanovic/build-your-own-x', ['Learn to Code']
'Builder', 'https://github.com/BuilderIO/builder', ['Content Management System (CMS)']
'bundle', 'https://github.com/okikio/bundle', ['Build Automation']
'Cadence', 'https://github.com/uber/cadence', ['Batch Processing']
'Caffe', 'https://github.com/BVLC/caffe', ['Deep Learning / ML / AI']
'Cal.com', 'https://github.com/calcom/cal.com', ['Scheduling']
'calibre', 'https://github.com/kovidgoyal/calibre', ['E-book Manager']
'Calico', 'https://github.com/projectcalico/calico', ['Networking', 'Network Security']
'CareKit', 'https://github.com/carekit-apple/CareKit', ['Healthcare']
'Cataclysm DDA', 'https://github.com/CleverRaven/Cataclysm-DDA', ['Game']
'CDash', 'https://github.com/Kitware/CDash', ['Test Automation']
'Celery', 'https://github.com/celery/celery', ['Task Queuing']
'Ceph', 'https://github.com/ceph/ceph', ['File System']
'Cert Manager', 'https://github.com/jetstack/cert-manager', ['TLS']
'Chainer', 'https://github.com/chainer/chainer', ['Deep Learning / ML / AI']
'Changd', 'https://github.com/paschmann/changd', ['Web Monitoring']
'Charm', 'https://github.com/charmbracelet/charm', ['Terminal']
'Che Server', 'https://github.com/eclipse-che/che-server', ['Container Management']
'Chef Infra', 'https://github.com/chef/chef', ['Infrastructure Configuration']
'Chromium', 'https://github.com/chromium/chromium', ['Web Browser']
'Cilium', 'https://github.com/cilium/cilium', ['Network Security']
'CIRCT', 'https://github.com/llvm/circt', ['Compiler']
'Clair', 'https://github.com/quay/clair', ['Vulnerability Scanner']
'ClassQuiz', 'https://github.com/mawoka-myblock/classquiz', ['Quiz Application']
'ClearML', 'https://github.com/allegroai/clearml', ['MLOps Framework']
